Metabolite,HMDB ID,ref,primary,recurrent
5-Hydroxylysine,HMDB0000450,0.178571429,0.2702,0.443
alpha-Aminobutyric acid,HMDB0000452,0.020869565,16.07,58.85
Adenosine,HMDB0000050,0.003820034,0.1053,0.05599
Asymmetric dimethylarginine,HMDB0001539,0.034883721,0.199,0.4826
Agmatine,HMDB0001432,0.005524862,0.02419,0.01826
Alanine,HMDB0000161,0.176004693,484.4,254.7
Arginine,HMDB0000517,0.137111517,69.01,103.6
Asparagine,HMDB0000168,0.101971448,40.02,62.12
Aspartic acid,HMDB0000191,0.303030303,3.749,3.123
beta-Alanine,HMDB0000056,0.042253521,2.088,1.918
Betaine,HMDB0000043,0.480769231,27.64,20.26
Choline,HMDB0000097,0.177777778,9.723,5.462
Citrulline,HMDB0000904,0.075566751,16.68,15.5
Creatine,HMDB0000064,0.213068182,15.55,66.84
Creatinine,HMDB0000562,0.326797386,46.26,44.32
Ethanolamine,HMDB0000149,0.043165468,4.066,3.994
Glutamine,HMDB0000641,0.129115558,588.2,693.5
Glutamic acid,HMDB0000148,0.128534704,111.3,55.36
Glycine,HMDB0000123,0.390015601,252.2,267.2
Guanine,HMDB0000132,0.007211538,0.1935,0.1546
Guanosine,HMDB0000133,0.002788104,0.05791,0.0356
Histidine,HMDB0000177,0.055493896,76.94,76.09
Homoarginine,HMDB0000670,0.006528836,0.6665,0.4393
Hypoxanthine,HMDB0000157,0.162601626,2.46,4.336
Isoleucine,HMDB0000172,0.360576923,63.05,107.7
Indole,HMDB0000738,0.6466,4.891,4.925
Kynurenine,HMDB0000684,0.023677979,1.761,0.5845
Leucine,HMDB0000687,0.255102041,125.8,213.8
Lysine,HMDB0000182,0.404312668,170.2,219.3
Methionine,HMDB0000696,0.110619469,16.29,36.54
Methionine sulfoxide,HMDB0002005,0.131578947,0.3528,1.004
Methylhistidine,HMDB0000479,0.09375,4.645,9.538
N1-Acetylspermidine,HMDB0001276,0.020689655,0.04316,0.09275
N-Acetylputrescine,HMDB0002064,0.014423077,0.04717,0.0215
Nudifloramide,HMDB0004193,0.357142857,0.9066,0.9835
Ornithine,HMDB0000214,0.058846607,83.07,68.68
Phenylalanine,HMDB0000159,0.044483986,45.62,75.07
Proline,HMDB0000162,0.694444444,195.4,148.2
Sarcosine,HMDB0000271,0.029769473,4.676,5.36
Serine,HMDB0000187,0.154479918,82.8,151.1
Taurine,HMDB0000251,0.255972696,32.48,34.26
Threonine,HMDB0000167,0.669642857,193.4,202.8
Thymidine,HMDB0000273,0.032608696,0.1306,0.05086
Trimethylamine N-Oxide,HMDB0000925,0.097345,3.418,0.9868
trans-4-Hydroxyproline,HMDB0000725,0.090634441,6.507,5.135
Tryptophan,HMDB0000929,0.033952014,28.45,36.84
Tyrosine,HMDB0000158,0.180722892,58.08,64.34
Uridine,HMDB0000296,0.307692308,3.049,4.617
Valine,HMDB0000883,0.294695481,248.5,299.8
Urea,HMDB0000294,102.3497082,5338,5759
Glucose,HMDB0000122,22.5,6087.276616,5187.384339
LysoPC a C14:0,HMDB0010379,0.129568563,2.168184316,1.084370986
LysoPC a C16:1,HMDB0010383,0.074715726,1.664942862,1.622062201
LysoPC a C16:0,HMDB0010382,0.108457106,47.69288279,64.30002488
LysoPC a C17:0,HMDB0012108,0.016448631,0.658744704,1.057984199
LysoPC a C18:2,HMDB0010386,0.039938529,22.0366228,19.21348537
LysoPC a C18:1,"HMDB0002815, HMDB0010385",0.051835904,11.4060351,14.20758308
LysoPC a C18:0,"HMDB0010384, HMDB0011128",0.053247755,12.76903309,10.41623586
LysoPC a C20:4,"HMDB0010395, HMDB0010396",0.028216263,3.111661308,8.070713229
LysoPC a C20:3,"HMDB0010393, HMDB0010394",0.089458462,2.79071514,2.065346664
LysoPC a C24:0,HMDB0010405,0.037408504,0.067099827,0.067632259
LysoPC a C26:1,HMDB0029220,0.032704833,0.102109186,0.091487241
LysoPC a C26:0,HMDB0029205,0.129241564,0.320323403,0.250047937
LysoPC a C28:1,HMDB0029221,0.051911888,0.172417049,0.131336966
LysoPC a C28:0,HMDB0029206,0.071471194,0.191960965,0.148733578
SM(OH) C14:1,HMDB0013462,0.019036975,7.072151016,9.297290727
SM C16:1,HMDB0240613,0.027493412,22.20732815,27.24221704
SM C16:0,HMDB0010169,0.10224336,121.9891791,159.9028521
SM(OH) C16:1,HMDB0013463,0.031493413,4.093333256,6.864191965
SM C18:1,"HMDB0012100, HMDB0012101",0.032976348,13.49050653,28.36592343
PC aa C32:2,"HMDB0007874, HMDB0008002",0.074222957,5.598141877,5.802386462
SM C18:0,HMDB0001348,0.127410881,30.47105791,50.29308646
SM C20:2,HMDB0013465,0.007091955,0.737670975,0.685228805
PC ae C36:0,"HMDB0013406, HMDB0013417",0.047689232,1.275136793,1.5191995
PC aa C36:6,"HMDB0008690, HMDB0007892",0.033219142,0.62863859,0.630251686
PC aa C36:0,"HMDB0007886, HMDB0007977",0.158568507,7.38833099,5.149427441
SM(OH) C22:2,HMDB0013467,0.020824121,10.79829751,12.14808831
SM(OH) C22:1,HMDB0013466,0.0226994,17.22732987,11.85969435
PC aa C38:6,"HMDB0007991, HMDB0008083",0.054512397,32.05321546,105.1262245
PC aa C38:0,"HMDB0007893, HMDB0007985",0.036871645,1.277129842,3.113242978
PC ae C40:6,HMDB0013422,0.0358497,1.696069172,5.690105132
SM(OH) C24:1,HMDB0013469,0.021105628,1.887102058,1.642290746
PC aa C40:6,"HMDB0008057, HMDB0008089",0.047022639,10.17686913,19.12432352
PC aa C40:2,"HMDB0008688, HMDB0008276",0.017395148,0.299025603,0.297866285
PC aa C40:1,"HMDB0007993, HMDB0008052",0.019399924,0.213650329,0.346738851
C0,HMDB0000062,0.221574475,37.56374484,38.65841711
C2,HMDB0000201,0.134737917,7.477557444,9.526101238
C3:1,HMDB0013124,0.0256276,0.031367633,0.039663531
C3,HMDB0000824,0.082382155,0.189818105,0.140014844
C4:1,HMDB0013126,0.024024737,0.061400639,0.062093503
C4,HMDB0002013,0.048601782,0.239652261,0.196524436
C5:1,HMDB0002366,0.03047242,0.040463568,0.031145982
C5,HMDB0013128,0.025571368,0.10965272,0.071193759
C4OH,HMDB0013127,0.023670644,0.104482694,0.075253209
C6:1,HMDB0013161,0.02468365,0.090640477,0.075852236
C5OH,HMDB0013132,0.034118393,0.064540811,0.050662594
C5:1DC,HMDB0013129,0.025018166,0.054821067,0.042560423
C5DC,HMDB0013130,0.019065371,0.025349379,0.025232345
C8,HMDB0000791,0.031645716,0.080669498,0.066892304
C5MDC,HMDB0000552,0.021772418,0.039181312,0.03112956
C9,HMDB0006320,0.011006936,0.092001336,0.067929968
C7DC,HMDB0013328,0.019987028,0.160215683,0.053372452
C10:2,"HMDB0241102, HMDB0241094",0.04902617,0.071706803,0.066243019
C10,HMDB0000651,0.05845231,0.110836472,0.091572989
C12,HMDB0002250,0.044286935,0.060250174,0.062273467
C14,HMDB0005066,0.032047671,0.210399305,0.234508862
C16:1,HMDB0013207,0.020050951,0.047272952,0.052439577
