case1,case2,case3,case4
5-Hydroxylysine,5-Hydroxylysine,7-Methylguanine,5-Methyluridine
alpha-Aminobutyric acid,alpha-Aminobutyric acid,alpha-Aminobutyric acid,7-Methylguanine
Adenosine,Adenosine,Adenosine,alpha-Aminobutyric acid
Asymmetric dimethylarginine,Asymmetric dimethylarginine,Asymmetric dimethylarginine,Adenosine
Agmatine,Agmatine,Alanine,Asymmetric dimethylarginine
Alanine,Alanine,Allantoin,Alanine
Arginine,Arginine,Arginine,Allantoin
Asparagine,Asparagine,Asparagine,Arginine
Aspartic acid,Aspartic acid,Aspartic acid,Asparagine
beta-Alanine,beta-Alanine,beta-Alanine,Aspartic acid
Betaine,Betaine,Betaine,beta-Alanine
Choline,Choline,Choline,Betaine
Citrulline,Citrulline,Citrulline,Choline
Creatine,Creatine,Creatine,Citrulline
Creatinine,Creatinine,Creatinine,Creatine
Ethanolamine,Ethanolamine,Ethanolamine,Creatinine
Glutamine,Glutamine,Glutamine,Ethanolamine
Glutamic acid,Glutamic acid,Glutamic acid,Glutamine
Glycine,Glycine,Glycine,Glutamic acid
Guanine,Guanine,Guanine,Glycine
Guanosine,Guanosine,Histidine,Guanine
Histidine,Histidine,Homoarginine,Histidine
Homoarginine,Homoarginine,Hypoxanthine,Homoarginine
Hypoxanthine,Hypoxanthine,Isoleucine,Hypoxanthine
Isoleucine,Isoleucine,Indole,Isoleucine
Indole,Indole,Kynurenine,Indole
Kynurenine,Kynurenine,Leucine,Kynurenine
Leucine,Leucine,Lysine,Leucine
Lysine,Lysine,Methionine,Lysine
Methionine,Methionine,Methionine sulfoxide,Methionine
Methionine sulfoxide,Methionine sulfoxide,Methylhistidine,Methionine sulfoxide
Methylhistidine,Methylhistidine,N1-Acetylspermidine,Methylhistidine
N1-Acetylspermidine,N1-Acetylspermidine,N-Acetylputrescine,N1-Acetylspermidine
N-Acetylputrescine,N-Acetylputrescine,Nudifloramide,N-Acetylputrescine
Nudifloramide,Nudifloramide,Ornithine,Nudifloramide
Ornithine,Ornithine,Phenylalanine,Ornithine
Phenylalanine,Phenylalanine,Proline,Phenylalanine
Proline,Proline,Sarcosine,Proline
Sarcosine,Sarcosine,Serine,Putrescine
Serine,Serine,Taurine,Sarcosine
